disease,cell_type,down_genes,down_reg_scores,up_genes,up_reg_scores
DOID:2945,Peripheral blood mononuclear cell,"['DUSP1' 'FOS' 'CTSS' 'HSPA8' 'SELL' 'TNFSF10' 'IFITM1' 'RNASET2' 'RPS26'
 'IL18RAP' 'FAM65B' 'RPS5' 'XIST' 'DAZAP2' 'SRSF5' 'TCF7' 'PLSCR1' 'RPL14'
 'HBD' 'HLA-DRA']","['-0.0954868346452713' '-0.09075072407722473' '-0.08317741006612778'
 '-0.06567707657814026' '-0.06407080590724945' '-0.06287331879138947'
 '-0.05919671803712845' '-0.05816788598895073' '-0.057450033724308014'
 '-0.05389372631907463' '-0.051223836839199066' '-0.049434203654527664'
 '-0.048315998166799545' '-0.04794732853770256' '-0.04626024514436722'
 '-0.04450421407818794' '-0.04450289160013199' '-0.04288122430443764'
 '-0.04276037961244583' '-0.04207272082567215']","['DEFA1B' 'S100A8' 'S100A9' 'S100A12' 'PPBP' 'RPL34' 'RPL30' 'RPL37A'
 'B2M' 'RPL41' 'RPL39' 'PF4' 'RPS21' 'S100A4' 'HBB' 'TMSB10' 'RPL23A'
 'RPS28' 'RPS23' 'RPS4Y1']","['0.3402838408946991' '0.217691570520401' '0.16059163212776184'
 '0.1530631184577942' '0.1515135020017624' '0.1513095200061798'
 '0.14639338850975037' '0.1398206204175949' '0.13585123419761658'
 '0.11766596138477325' '0.10973617434501648' '0.10776368528604507'
 '0.10621665418148041' '0.10258661955595016' '0.09769455343484879'
 '0.09615405648946762' '0.09364186227321625' '0.09116313606500626'
 '0.0880492702126503' '0.08590766042470932']"
DOID:4866,salivary tissue,"['PRH2' 'AMY2B' 'ZG16B' 'PIP' 'SMR3A' 'SMR3B' 'BPIFA2' 'HTN1' 'STATH'
 'PRR4' 'HTN3' 'CST4' 'IGHA2' 'CRISP3' 'SLPI' 'FDCSP' 'CYAT1' 'IGLC7'
 'IGJ' 'MUCL1']","['-0.26860663294792175' '-0.25098738074302673' '-0.2390720695257187'
 '-0.23797152936458588' '-0.2306784987449646' '-0.22057335078716278'
 '-0.21686053276062012' '-0.21680396795272827' '-0.215753972530365'
 '-0.2132664918899536' '-0.20856405794620514' '-0.18398015201091766'
 '-0.15405243635177612' '-0.14656315743923187' '-0.13641753792762756'
 '-0.12808704376220703' '-0.11471021920442581' '-0.10436385869979858'
 '-0.0967567041516304' '-0.09514937549829483']","['TMSB10' 'MIF' 'TUBA1C' 'RPS18' 'EEF1G' 'GAPDH' 'RPLP0' 'ACTB' 'KRT14'
 'CDK2AP1' 'MT2A' 'GABRP' 'RPL32' 'ACTG1' 'RPSA' 'CFL1' 'RPS10' 'KRT5'
 'RPS4X' 'EFHD1']","['0.0580434612929821' '0.05802452936768532' '0.05706443637609482'
 '0.05675433576107025' '0.051165781915187836' '0.051064375787973404'
 '0.047016046941280365' '0.0455622524023056' '0.04523535072803497'
 '0.04506840929389' '0.04505491256713867' '0.04432821646332741'
 '0.044016432017087936' '0.04343120753765106' '0.03936739265918732'
 '0.038533661514520645' '0.03789496049284935' '0.036692194640636444'
 '0.0363132506608963' '0.03472775220870972']"
DOID:8924,T lymphocyte,"['RPL38' 'RPS29' 'RPL10' 'RPSAP19' 'RPL41' 'EEF1A1' 'RPLP1' 'RPS12'
 'RPL37A' 'RPL28' 'LOC100130553' 'RPS11' 'RPS2' 'RPS8' 'RPL32' 'RPS23'
 'RPS27' 'RPL3' 'RPS20' 'RPS10']","['-0.25158852338790894' '-0.239328995347023' '-0.23140472173690796'
 '-0.21133685111999512' '-0.21112419664859772' '-0.20139537751674652'
 '-0.1830900013446808' '-0.16621918976306915' '-0.16117389500141144'
 '-0.15878313779830933' '-0.1587081104516983' '-0.15854154527187347'
 '-0.15328721702098846' '-0.1521378755569458' '-0.15088285505771637'
 '-0.15048359334468842' '-0.1423688679933548' '-0.13748814165592194'
 '-0.1345636546611786' '-0.12284015119075775']","['HBB' 'HBA2' 'GNLY' 'NKG7' 'LOC100127933' 'CXCR4' 'IL32' 'GZMH' 'DUSP1'
 'IGHV4-31' 'IFITM3' 'GZMA' 'LGALS1' 'AHNAK' 'GPR56' 'MSN' 'CD99' 'PRF1'
 'TNFAIP3' 'RBM3']","['0.13459719717502594' '0.07343433052301407' '0.06149382144212723'
 '0.05944567173719406' '0.05217241495847702' '0.04864094778895378'
 '0.04697117581963539' '0.043533969670534134' '0.04151226207613945'
 '0.04061542823910713' '0.03882746025919914' '0.036042287945747375'
 '0.03541022539138794' '0.03408374637365341' '0.0333750881254673'
 '0.03290953487157822' '0.03223690018057823' '0.03120323270559311'
 '0.029508881270885468' '0.027787746861577034']"
DOID:11432,Endometrium,"['COX1' 'SCGB2A1' 'RPLP0' 'LGALS1' 'ID1' 'COX2' 'H3F3AP4' 'TUBA1C'
 'APCDD1' 'HMGN2' 'SFRP4' 'GAPDH' 'PAMR1' 'CD24' 'SCGB1D2' 'STX18'
 'PAPSS1' 'TGFBI' 'PGRMC1' 'EPCAM']","['-0.15585854649543762' '-0.13379454612731934' '-0.1199372187256813'
 '-0.11685440689325333' '-0.10693708807229996' '-0.10418643802404404'
 '-0.10141591727733612' '-0.09596530348062515' '-0.09319943189620972'
 '-0.0931214913725853' '-0.09136930108070374' '-0.08818260580301285'
 '-0.08769438415765762' '-0.08569880574941635' '-0.08552031964063644'
 '-0.08105241507291794' '-0.08074595779180527' '-0.07400790601968765'
 '-0.07122141122817993' '-0.07074641436338425']","['C3' 'TIMP1' 'FTL' 'C7' 'IGHV4-31' 'C1R' 'PEG3' 'AEBP1' 'DLK1' 'PLA2G2A'
 'COL6A3' 'TCEAL4' 'FHL2' 'STAR' 'HSPA1A' 'RPL21' 'HSPA1B' 'C4orf46'
 'SPARCL1' 'CFHR1']","['0.26303818821907043' '0.22804242372512817' '0.21117520332336426'
 '0.1486373394727707' '0.12313278764486313' '0.10990819334983826'
 '0.09814929962158203' '0.09657541662454605' '0.09324602782726288'
 '0.08444444835186005' '0.08349451422691345' '0.08254130184650421'
 '0.08153983950614929' '0.0814182236790657' '0.07996942102909088'
 '0.0785684660077095' '0.07596637308597565' '0.07444074749946594'
 '0.07358600944280624' '0.0702335312962532']"
DOID:5520,Head and Neck Squamous Cell (Normal vs. Tumor),"['KRT4' 'KRT13' 'HBB' 'MAL' 'HBA2' 'FOSB' 'TGM3' 'AQP3' 'SPRR1A' 'IGHA2'
 'ZFP36' 'CLU' 'KRT10' 'LYPD3' 'CSTB' 'SPINK5' 'SLPI' 'SLURP1' 'DUSP1'
 'DMBT1']","['-0.4668349325656891' '-0.34162241220474243' '-0.24537083506584167'
 '-0.24004369974136353' '-0.18782038986682892' '-0.11887665838003159'
 '-0.11804770678281784' '-0.11790457367897034' '-0.10836020857095718'
 '-0.10329672694206238' '-0.09997889399528503' '-0.09235469996929169'
 '-0.0898490846157074' '-0.08490414917469025' '-0.08203841000795364'
 '-0.0761614739894867' '-0.07418519258499146' '-0.07068411260843277'
 '-0.06677831709384918' '-0.06665829569101334']","['KRT17' 'FTL' 'FTH1P5' 'KRT5' 'HLA-C' 'IFI27' 'S100A2' 'AKR1C2' 'KRT6A'
 'MIF' 'OAZ1' 'LGALS1' 'HLA-A' 'PPIA' 'TPTEP1' 'RPL38' 'HSPB1' 'KRT14'
 'FSCN1' 'AGRN']","['0.18689393997192383' '0.1126561164855957' '0.10559143126010895'
 '0.09926121681928635' '0.09299618750810623' '0.07539702206850052'
 '0.074845090508461' '0.07445448637008667' '0.0687033087015152'
 '0.0685296356678009' '0.06418514251708984' '0.06404343247413635'
 '0.06391990929841995' '0.06318163871765137' '0.0550115704536438'
 '0.05493248999118805' '0.05415206030011177' '0.0513484850525856'
 '0.05078883096575737' '0.05011836811900139']"
DOID:3458,Breast epithelium,"['MUCL1' 'AMIGO2' 'PIP' 'OXTR' 'APOD' 'SRPX' 'KRT14' 'KRT15' 'KIT' 'CFD'
 'SCGB3A1' 'LTF' 'EGR1' 'WIF1' 'DLK1' 'DUSP6' 'TGFBR3' 'CAV1' 'EGR2'
 'LDHB']","['-0.13333649933338165' '-0.13312572240829468' '-0.1316051185131073'
 '-0.11800646781921387' '-0.11268638074398041' '-0.09348481148481369'
 '-0.08593150973320007' '-0.08483012020587921' '-0.07999264448881149'
 '-0.07806459069252014' '-0.07591526955366135' '-0.07387100905179977'
 '-0.0728776827454567' '-0.07259087264537811' '-0.06879650801420212'
 '-0.06852078437805176' '-0.06775657832622528' '-0.06594828516244888'
 '-0.06543603539466858' '-0.06530757993459702']","['CTHRC1' 'COX6C' 'IGHV4-31' 'CILP' 'NAT1' 'COL10A1' 'COL5A2' 'COL1A2'
 'HLA-DRA' 'HLA-DRB5' 'SFRP2' 'VCAN' 'COMP' 'HLA-DRB4' 'CRIP1' 'HLA-B'
 'COL3A1' 'SRP9' 'SULF1' 'ACTB']","['0.13054800033569336' '0.09593486785888672' '0.08628643304109573'
 '0.0840604156255722' '0.0833968073129654' '0.08075321465730667'
 '0.08032368123531342' '0.07766909152269363' '0.07312653958797455'
 '0.07269490510225296' '0.06666585057973862' '0.06300746649503708'
 '0.05975998938083649' '0.05809280648827553' '0.05380483716726303'
 '0.053343143314123154' '0.053325776010751724' '0.05283144861459732'
 '0.05272320285439491' '0.05234575644135475']"
DOID:0060201,HEK293E,"['HMGN2' 'DDIT4' 'VBP1' 'HEY1' 'LBR' 'ZNF711' 'RPL13A' 'CCNG1' 'UBA2'
 'NONO' 'MRPL3' 'CETN3' 'ARF4' 'KCTD12' 'EEF1A1P9' 'MARCKSL1' 'GDI2'
 'TMED2' 'GJA1' 'TOMM20']","['-0.23798446357250214' '-0.14507049322128296' '-0.12158846855163574'
 '-0.11536252498626709' '-0.098627969622612' '-0.08856213837862015'
 '-0.08605148643255234' '-0.08371812105178833' '-0.08176269382238388'
 '-0.07476143538951874' '-0.074538454413414' '-0.07426505535840988'
 '-0.07294894754886627' '-0.06208932399749756' '-0.062056515365839005'
 '-0.061579398810863495' '-0.060256052762269974' '-0.05891751870512962'
 '-0.05876474827528' '-0.05416161194443703']","['HSPA1A' 'HSPA1B' 'BEX1' 'ACTB' 'FTL' 'ND2' 'SNRPD2' 'RPL10' 'MORF4L1'
 'NOP10' 'USMG5' 'NME1' 'GLO1' 'NHP2' 'RPL36AL' 'UQCRH' 'MRFAP1' 'YBX1'
 'TMA7' 'SLIRP']","['0.17484156787395477' '0.1711556762456894' '0.13812518119812012'
 '0.12673719227313995' '0.12548716366291046' '0.11830135434865952'
 '0.09892912209033966' '0.09806255251169205' '0.09798893332481384'
 '0.0951569452881813' '0.09471485763788223' '0.09307356923818588'
 '0.09204147011041641' '0.0918133482336998' '0.08820029348134995'
 '0.08447682857513428' '0.08397124707698822' '0.08006907254457474'
 '0.07912321388721466' '0.07499684393405914']"
DOID:419,Fibroblast,"['RPL38' 'FTL' 'ISG15' 'EEF1A1' 'RPSAP58' 'TIMP1' 'SEPT9' 'RPL28' 'RPS28'
 'RPL41' 'MFGE8' 'MT1X' 'IL6' 'SFRP1' 'RPS3' 'CXCL1' 'ACTG1' 'RPS29'
 'HSPB1' 'ITGA7']","['-0.14013022184371948' '-0.1278541535139084' '-0.1275317370891571'
 '-0.1173708438873291' '-0.11541866511106491' '-0.10799813270568848'
 '-0.107781320810318' '-0.1070086807012558' '-0.10148968547582626'
 '-0.10117997974157333' '-0.09770949929952621' '-0.09666808694601059'
 '-0.0946093201637268' '-0.09446169435977936' '-0.09294058382511139'
 '-0.0924035832285881' '-0.09232807159423828' '-0.09154000878334045'
 '-0.09123430401086807' '-0.09121084958314896']","['PMP22' 'RARRES2' 'POSTN' 'SERPINF1' 'MXRA5' 'PPAP2B' 'CCL11' 'TIMP3'
 'SLC1A5' 'TMEM158' 'MFAP4' 'NQO1' 'CD99' 'SEPT2' 'CDH11' 'ARID5B'
 'TAGLN2' 'RND3' 'TUBA1A' 'CEMIP']","['0.12404885143041611' '0.11152204126119614' '0.09872247278690338'
 '0.09353562444448471' '0.08009286969900131' '0.07950358837842941'
 '0.07491029053926468' '0.06809576600790024' '0.0675189420580864'
 '0.06444357335567474' '0.06295967102050781' '0.059954654425382614'
 '0.05345224216580391' '0.053238220512866974' '0.0520530566573143'
 '0.050904884934425354' '0.04894590005278587' '0.04823543503880501'
 '0.048230405896902084' '0.04796260595321655']"
DOID:0060180,Colon,"['GUCA2A' 'ZG16' 'CKB' 'KRT8' 'AQP8' 'FABP1' 'SELENBP1' 'RPSAP58' 'LGALS4'
 'KRT20' 'SLC26A2' 'RPS29' 'SLC26A3' 'HMGCS2' 'IFI27' 'RPL29' 'TSPAN1'
 'UQCRQ' 'CEACAM7' 'TXNIP']","['-0.21035854518413544' '-0.17731310427188873' '-0.16464349627494812'
 '-0.16317647695541382' '-0.1485573798418045' '-0.13928449153900146'
 '-0.1277432143688202' '-0.10875450819730759' '-0.10354805737733841'
 '-0.10234006494283676' '-0.09824246168136597' '-0.09535542875528336'
 '-0.09525491297245026' '-0.09296772629022598' '-0.09286060184240341'
 '-0.08965584635734558' '-0.08856937289237976' '-0.08561448007822037'
 '-0.0820915699005127' '-0.07438309490680695']","['REG1A' 'PLA2G2A' 'CYAT1' 'IGHA2' 'HLA-A' 'OLFM4' 'LCN2' 'SPINK4'
 'IGHV4-31' 'IGK' 'TMSB10' 'IGHM' 'REG1B' 'AGR2' 'IFI30' 'DMBT1' 'RPS2'
 'RPS27' 'CD81' 'ASS1']","['0.1877223551273346' '0.16930298507213593' '0.16781555116176605'
 '0.13366743922233582' '0.1274002343416214' '0.12371551990509033'
 '0.121184341609478' '0.10401327162981033' '0.09390600025653839'
 '0.09382185339927673' '0.08691280335187912' '0.08688592910766602'
 '0.08247840404510498' '0.08214879035949707' '0.07813026010990143'
 '0.07112791389226913' '0.06771712750196457' '0.06490746140480042'
 '0.06365545094013214' '0.06343431025743484']"
DOID:9296,dental pulp stem cell culture,"['RN7SL2' 'SERPINE1' 'TGFBI' 'MT2A' 'TIMP1' 'COL6A3' 'RN7SK' 'HIST1H1B'
 'IGFBP5' 'FN1' 'SPARC' 'MSN' 'HIST1H3I' 'HIST1H1E' 'ANKRD1' 'RPL5'
 'HSPA8' 'RPL41P5' 'CD44' 'ADAM19']","['-0.21309898793697357' '-0.1933605670928955' '-0.16246925294399261'
 '-0.1487419456243515' '-0.1371675729751587' '-0.12356538325548172'
 '-0.11467604339122772' '-0.11259537935256958' '-0.09085626900196075'
 '-0.09019839763641357' '-0.08867393434047699' '-0.07856201380491257'
 '-0.07630965113639832' '-0.07614609599113464' '-0.07379855960607529'
 '-0.07329287379980087' '-0.07239758223295212' '-0.0723772644996643'
 '-0.07129943370819092' '-0.07128800451755524']","['IGFBP4' 'ACTA2' 'TXNRD1' 'GREM1' 'NBPF20' 'SERINC2' 'CLDN11' 'CD99'
 'ADM' 'CRIM1' 'ACTB' 'FTL' 'CCL2' 'TGFB2' 'TMSB4XP6' 'SEC22B' 'PCOLCE'
 'CNN2' 'THBS2' 'MYOF']","['0.1131807416677475' '0.09093606472015381' '0.07971164584159851'
 '0.06933987885713577' '0.06835602968931198' '0.06715159118175507'
 '0.06393814831972122' '0.05841953679919243' '0.057536203414201736'
 '0.05592675507068634' '0.05510333925485611' '0.04937450587749481'
 '0.0480150431394577' '0.04745429754257202' '0.047375332564115524'
 '0.04512539878487587' '0.04504871368408203' '0.04454931244254112'
 '0.04444364830851555' '0.04424700886011124']"
DOID:5394,human prolactinomas,"['GH1' 'POMC' 'GAL' 'TSHB' 'CGA' 'RBP4' 'GH2' 'LHB' 'DLK1' 'CRYAB' 'FSHB'
 'MAFF' 'SLPI' 'GPC3' 'CSHL1' 'NPTX2' 'S100A8' 'CHI3L1' 'NNAT' 'TBX19']","['-0.6558247804641724' '-0.4002039432525635' '-0.36679691076278687'
 '-0.3211849331855774' '-0.29967132210731506' '-0.15273231267929077'
 '-0.09959191083908081' '-0.08124767243862152' '-0.058946643024683'
 '-0.04609842225909233' '-0.04134686291217804' '-0.04086069390177727'
 '-0.039344727993011475' '-0.03768102452158928' '-0.033805351704359055'
 '-0.030247289687395096' '-0.027162667363882065' '-0.026188138872385025'
 '-0.02368326298892498' '-0.02360285446047783']","['PENK' 'PCDH11Y' 'IFI27' 'CDR1' 'PYGL' 'RGS5' 'IGHA2' 'ISG15' 'FN1'
 'COL3A1' 'BAG1' 'TMEM158' 'VWF' 'CBLN1' 'COL6A3' 'STC1' 'GNG11'
 'IGHV4-31' 'GAP43' 'POSTN']","['0.041127242147922516' '0.030660146847367287' '0.01821092516183853'
 '0.0122451800853014' '0.011658895760774612' '0.01057896763086319'
 '0.01034568902105093' '0.010306653566658497' '0.009592303074896336'
 '0.009104479104280472' '0.008517657406628132' '0.008446022868156433'
 '0.008399591781198978' '0.008184567093849182' '0.007926052436232567'
 '0.0072724055498838425' '0.007250329479575157' '0.007164958398789167'
 '0.007149247452616692' '0.007116985507309437']"
DOID:3429,Pathological skeletal muscle fibers,"['MYH1' 'ATP2A1' 'RPS15A' 'ENO3' 'MYBPC2' 'MYLPF' 'RPS20' 'TNNI2' 'TNNT3'
 'RPS18' 'RPS3' 'RPL30' 'PGAM2' 'GAPDH' 'RPL27' 'CKM' 'PYGM' 'MYL1' 'YBX3'
 'CALML6']","['-0.264299601316452' '-0.199372336268425' '-0.14028121531009674'
 '-0.13659414649009705' '-0.12240245938301086' '-0.11512874811887741'
 '-0.10855074971914291' '-0.10663118213415146' '-0.10010602325201035'
 '-0.09564872831106186' '-0.0941338911652565' '-0.09222656488418579'
 '-0.09050889313220978' '-0.08850346505641937' '-0.08752831071615219'
 '-0.08010085672140121' '-0.07857368141412735' '-0.0779930129647255'
 '-0.07618170231580734' '-0.07016460597515106']","['HLA-A' 'ACTC1' 'HLA-B' 'TXNIP' 'ATP2A2' 'PDK4' 'HLA-J' 'CD74' 'MYL3'
 'MYH8' 'MT2A' 'MYH7' 'B2M' 'MYOT' 'TNNC1' 'HLA-C' 'CA3' 'MUSTN1' 'RN7SK'
 'MIR675']","['0.185257688164711' '0.1359420120716095' '0.12375272065401077'
 '0.1164926141500473' '0.11361251771450043' '0.11143335700035095'
 '0.1082565113902092' '0.10552942752838135' '0.09390094131231308'
 '0.09030875563621521' '0.0901806429028511' '0.08721724897623062'
 '0.08666937798261642' '0.08189601451158524' '0.08162152022123337'
 '0.07737195491790771' '0.0758856013417244' '0.07455283403396606'
 '0.07448739558458328' '0.07125671952962875']"
DOID:2394,ovarian epithelial cells,"['TCEAL2' 'COX1' 'ITLN1' 'C3' 'ITM2B' 'DFNA5' 'HNRNPA1P10' 'LOC100507397'
 'GABARAPL3' 'RPL3' 'RPL9' 'NELL2' 'HTRA1' 'RPL34' 'DCAF6' 'EEF1G' 'HBB'
 'TPT1' 'C2orf40' 'TUBA1A']","['-0.17918412387371063' '-0.16103899478912354' '-0.14745894074440002'
 '-0.13888080418109894' '-0.1291440725326538' '-0.11831945180892944'
 '-0.11093601584434509' '-0.11030244082212448' '-0.1066717654466629'
 '-0.10147362947463989' '-0.09597989916801453' '-0.0945582240819931'
 '-0.09060323238372803' '-0.08053197711706161' '-0.07806722074747086'
 '-0.07777393609285355' '-0.07700759917497635' '-0.0756538063287735'
 '-0.07546083629131317' '-0.07450190931558609']","['TMA7' 'TMSB10' 'RPL39' 'RPS18' 'SNRPG' 'EPCAM' 'UQCRH' 'COX7A2' 'RPS29'
 'CTHRC1' 'NDUFS6' 'IRF2BPL' 'CDIPT' 'ADAR' 'MRPL3' 'ZWINT' 'NOP58'
 'RPS21' 'COL1A2' 'HIST1H2BK']","['0.19780507683753967' '0.18013718724250793' '0.1414625644683838'
 '0.13537058234214783' '0.13105273246765137' '0.12468373030424118'
 '0.11545094847679138' '0.1112925186753273' '0.1049332469701767'
 '0.1041177362203598' '0.10366889089345932' '0.09497404843568802'
 '0.08835247159004211' '0.07842771708965302' '0.07477244734764099'
 '0.07371874153614044' '0.07322870939970016' '0.07321394234895706'
 '0.0718916729092598' '0.07120851427316666']"
DOID:3491,amniotic fluid,"['RBP2' 'H19' 'RPS14P3' 'SPRR1B' 'FTH1' 'FTL' 'RPS4X' 'CSTA' 'FTH1P5'
 'COX6C' 'IRF2BPL' 'RPS13' 'ATP5I' 'EEF1A1P9' 'RPL39' 'TMSB4XP8' 'SNRPG'
 'SLC25A6' 'TGFBI' 'APOC3']","['-0.3836071491241455' '-0.23008695244789124' '-0.18938130140304565'
 '-0.1597284972667694' '-0.12601853907108307' '-0.12431977689266205'
 '-0.12121791392564774' '-0.10538464039564133' '-0.10154250264167786'
 '-0.09541498869657516' '-0.08961275964975357' '-0.076877661049366'
 '-0.07294895499944687' '-0.06724050641059875' '-0.0605812668800354'
 '-0.06038619950413704' '-0.05995537340641022' '-0.056012239307165146'
 '-0.055743008852005005' '-0.05500195547938347']","['RAB13' 'KRT6C' 'ANP32B' 'RPL9' 'FAU' 'RPL8' 'KRT24' 'RPL35' 'HIST1H4E'
 'EEF1G' 'RPSA' 'GABARAPL3' 'RPL12' 'RPS8' 'HMGN1' 'BZW2' 'RPL36' 'SETP4'
 'NEK7' 'PPL']","['0.22478526830673218' '0.2102135419845581' '0.1658192276954651'
 '0.13036809861660004' '0.11840662360191345' '0.11825663596391678'
 '0.10179537534713745' '0.09978928416967392' '0.09386323392391205'
 '0.09027347713708878' '0.08964042365550995' '0.08929361402988434'
 '0.08716748654842377' '0.08571497350931168' '0.08333272486925125'
 '0.07839889824390411' '0.07613183557987213' '0.073090098798275'
 '0.07185641676187515' '0.06902924180030823']"
DOID:543,Brain,"['PCP4' 'ARPP21' 'CHN1' 'SPARCL1' 'NRGN' 'RPL37A' 'PPP3CA' 'LMO3' 'RPL23A'
 'HPCA' 'RPS27' 'PENK' 'HBA2' 'GPR88' 'EIF4A2' 'GNB1' 'RBFOX1' 'SLC1A2'
 'NPTN' 'NGFRAP1']","['-0.1892642378807068' '-0.16257451474666595' '-0.12386937439441681'
 '-0.1026691123843193' '-0.0994037464261055' '-0.09678176790475845'
 '-0.09479013085365295' '-0.08156675100326538' '-0.0804508849978447'
 '-0.07817263901233673' '-0.07634223997592926' '-0.06843339651823044'
 '-0.06772719323635101' '-0.06557895243167877' '-0.0626867413520813'
 '-0.0614958181977272' '-0.061070915311574936' '-0.059931136667728424'
 '-0.05935141444206238' '-0.058590203523635864']","['SERPINA3' 'CRYAB' 'FTH1' 'VIM' 'GFAP' 'SPP1' 'PTGDS' 'TF' 'FAM107A'
 'MBP' 'CLU' 'HSP90AA1' 'EIF1' 'MT2A' 'CLDND1' 'PRDX1' 'TTR' 'C3' 'SEPP1'
 'YWHAE']","['0.22628024220466614' '0.19337747991085052' '0.17800810933113098'
 '0.1735626608133316' '0.17090661823749542' '0.16078825294971466'
 '0.14335477352142334' '0.1345437467098236' '0.13165265321731567'
 '0.10565021634101868' '0.10544225573539734' '0.09793731570243835'
 '0.0927191898226738' '0.0926312655210495' '0.08651948720216751'
 '0.08262952417135239' '0.07874950766563416' '0.07443918287754059'
 '0.07355943322181702' '0.07157501578330994']"
DOID:7851,Epithelial cells (pancreatic duct),"['CPB1' 'CTRB2' 'PNLIP' 'REG1B' 'PRSS2' 'REG1A' 'AMY2B' 'CELA3A' 'CPA2'
 'PLA2G1B' 'RPS4Y1' 'PRSS1' 'CPA1' 'PRSS3' 'PRSS3P2' 'CLPS' 'CELA2A' 'GCG'
 'INS' 'LDHB']","['-0.3319495916366577' '-0.2500680088996887' '-0.23576264083385468'
 '-0.2149406522512436' '-0.19035905599594116' '-0.18940013647079468'
 '-0.17954939603805542' '-0.17473876476287842' '-0.16960804164409637'
 '-0.1611596792936325' '-0.14778704941272736' '-0.1465999335050583'
 '-0.14610202610492706' '-0.14228080213069916' '-0.13184237480163574'
 '-0.12153669446706772' '-0.1028422862291336' '-0.09622474014759064'
 '-0.09140241891145706' '-0.08329123258590698']","['TFF1' 'CTSE' 'S100P' 'TSPAN8' 'TFF2' 'ANXA10' 'PGC' 'MLPH' 'ATP1B1'
 'SPINK4' 'IER3' 'GKN1' 'AGR2' 'DPCR1' 'CYAT1' 'IGLC7' 'TMSB4XP8' 'CYSTM1'
 'IGHA2' 'COX1']","['0.1170014962553978' '0.11331234127283096' '0.10581979900598526'
 '0.10234183073043823' '0.08904700726270676' '0.07687731832265854'
 '0.06967144459486008' '0.06951478123664856' '0.0688619613647461'
 '0.06130455806851387' '0.06090926751494408' '0.06017814204096794'
 '0.05974350869655609' '0.05510595068335533' '0.053961578756570816'
 '0.04683339223265648' '0.0461600236594677' '0.04588800668716431'
 '0.04392169788479805' '0.04353918507695198']"
DOID:7685,Epithelial cells (pancreatic duct)),"['CPB1' 'CTRB2' 'PNLIP' 'PRSS2' 'CELA3A' 'PRSS3' 'PRSS1' 'AMY2B' 'PLA2G1B'
 'CPA2' 'PRSS3P2' 'CLPS' 'CPA1' 'REG1B' 'REG1A' 'CTRC' 'CELA2A' 'CEL'
 'CELA3B' 'RPS4Y1']","['-0.3480999767780304' '-0.2730651795864105' '-0.26293426752090454'
 '-0.19218386709690094' '-0.18134745955467224' '-0.177747443318367'
 '-0.15913452208042145' '-0.15692850947380066' '-0.1549987941980362'
 '-0.1476416438817978' '-0.14587581157684326' '-0.14386047422885895'
 '-0.14125265181064606' '-0.13986212015151978' '-0.13229422271251678'
 '-0.10854943841695786' '-0.10721927136182785' '-0.09941953420639038'
 '-0.08101125061511993' '-0.07525106519460678']","['SPINK4' 'TFF3' 'FCGBP' 'TFF1' 'S100P' 'TSPAN8' 'ITLN1' 'IER3' 'ATP1B1'
 'CTSE' 'CEACAM6' 'DMBT1' 'HLA-A' 'LGALS4' 'CD55' 'AGR2' 'TCN1' 'LCN2'
 'PGA4' 'EPCAM']","['0.20204922556877136' '0.11254806071519852' '0.09896402806043625'
 '0.08524417132139206' '0.07440810650587082' '0.06816518306732178'
 '0.06716854125261307' '0.06395567953586578' '0.06100992485880852'
 '0.05824851244688034' '0.05332008749246597' '0.0519084669649601'
 '0.05012110248208046' '0.0495663546025753' '0.049003761261701584'
 '0.04855682700872421' '0.04437469318509102' '0.04339829459786415'
 '0.04257786646485329' '0.040271587669849396']"
DOID:8857,Peripheral blood B cells (inactive lupus),"['RPS4Y1' 'ACTG1' 'EEF1G' 'CD1C' 'RPL8' 'IGHM' 'PLAC8' 'HLA-B' 'COX2'
 'SH3KBP1' 'RPSA' 'IER2' 'H3F3B' 'RPL4' 'TUBA1C' 'ND2' 'HMGN2' 'ICAM3'
 'UCP2' 'NLRC5']","['-0.1609949767589569' '-0.14306212961673737' '-0.1357049196958542'
 '-0.1342727094888687' '-0.12201550602912903' '-0.11752501875162125'
 '-0.10678823292255402' '-0.10403361916542053' '-0.10149308294057846'
 '-0.10045643895864487' '-0.09808614104986191' '-0.09687122702598572'
 '-0.09676046669483185' '-0.08451981097459793' '-0.08418390154838562'
 '-0.07750661671161652' '-0.07149733603000641' '-0.06967177987098694'
 '-0.0675843358039856' '-0.06723961234092712']","['RPS26' 'IGJ' 'HLA-DRB1' 'IFI44L' 'HLA-DQA2' 'RPS25' 'RPL39' 'TMEM123'
 'MX1' 'HLA-DRB5' 'IGHA2' 'TXNDC5' 'HLA-DRB4' 'HLA-DPA1' 'SNHG5' 'RPLP1'
 'LOC100133583' 'IFITM2' 'IGLC7' 'HNRNPA1']","['0.17557960748672485' '0.16925795376300812' '0.146427720785141'
 '0.14036454260349274' '0.1379529982805252' '0.13369576632976532'
 '0.13060329854488373' '0.1034160628914833' '0.10132569819688797'
 '0.10113061964511871' '0.09619395434856415' '0.09266192466020584'
 '0.08949983865022659' '0.08749730885028839' '0.0867498368024826'
 '0.08615201711654663' '0.08430425077676773' '0.0833573043346405'
 '0.08032527565956116' '0.07936131209135056']"
